age_lower,age_upper,age_name,original,Naive ,UK data,Modelled
0,5, 0-4y,0.001,0.1,,0.0196
5,10,5-9y,0.001,0.1,0.023,0.0259
10,15, 10-14y,0.002,0.2,,0.0358
15,20,15-19y,0.002,0.2,0.023,0.0508
20,25, 20-24y,0.003,0.3,,0.0768
25,30,25-29y,0.005,0.5,0.032,0.103
30,35,30-34y,0.007,0.7,,0.152
35,40,35-39y,0.009,0.9,0.04,0.201
40,45, 40-44y,0.013,1.3,,0.286
45,50,45-49y,0.018,1.8,0.076,0.422
50,55, 50-54y,0.025,2.5,,0.616
55,60,55-59y,0.036,3.6,0.208,0.877
60,65, 60-64y,0.05,5,,1.24
65,70,65-69y,0.071,7.1,0.686,1.68
70,75, 70-74y,0.1,10,,2.41
75,80,75-79y,0.14,14,3.28,3.63
80,85, 80-84y,0.233,23.3,,6.05
