vacc_on,immune_escape,matched_vacc,matched_vacc_level,vfr2,name,rt,max_t,income_group,target_pop,hs_constraints,dt,seeding_cases,age_groups_covered,age_groups_covered_d3,age_groups_covered_d4,age_groups_covered_d5,max_coverage,vacc_period,vacc_start,vaccine_doses,vfr,vfr_time1,vfr_time2,vfr2_time1,vfr2_time2,vaccine,mu_ab_d1,k,hl_l,hl_s,period_s,period_l,ab_50,ab_50_severe,std10,max_ab,mu_ab_infection,std10_infection,mu_ab_inf_scal_vfr,hosp_scal,b1,repetition,ICU_scal,mu_ab_d2,scenario_name,index
0,0,0,1,1,scenario1,3,5475,HIC,1000000,Absent,0.25,10,14,14,14,14,0.8,30,5475,1,1,1,30,1095,1185,vaccine,0.21730769230769229,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,1,0.04,1,1,0.21730769230769229,undefined,1
0,0,0,1,1,scenario1,3,5475,HIC,1000000,Absent,0.25,10,14,14,14,14,0.8,30,5475,1,1,1,30,1095,1185,vaccine,0.21730769230769229,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,1,0.04,2,1,0.21730769230769229,undefined,2
0,0,0,1,1,scenario1,3,5475,HIC,1000000,Absent,0.25,10,14,14,14,14,0.8,30,5475,1,1,1,30,1095,1185,vaccine,0.21730769230769229,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,1,0.04,3,1,0.21730769230769229,undefined,3
0,0,0,1,1,scenario1,3,5475,HIC,1000000,Absent,0.25,10,14,14,14,14,0.8,30,5475,1,1,1,30,1095,1185,vaccine,0.21730769230769229,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,1,0.04,4,1,0.21730769230769229,undefined,4
0,0,0,1,1,scenario1,3,5475,HIC,1000000,Absent,0.25,10,14,14,14,14,0.8,30,5475,1,1,1,30,1095,1185,vaccine,0.21730769230769229,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,1,0.04,5,1,0.21730769230769229,undefined,5
0,0,0,1,1,scenario1,3,5475,HIC,1000000,Absent,0.25,10,14,14,14,14,0.8,30,5475,1,1,1,30,1095,1185,vaccine,0.21730769230769229,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,1,0.04,6,1,0.21730769230769229,undefined,6
0,0,0,1,1,scenario1,3,5475,HIC,1000000,Absent,0.25,10,14,14,14,14,0.8,30,5475,1,1,1,30,1095,1185,vaccine,0.21730769230769229,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,1,0.04,7,1,0.21730769230769229,undefined,7
0,0,0,1,1,scenario1,3,5475,HIC,1000000,Absent,0.25,10,14,14,14,14,0.8,30,5475,1,1,1,30,1095,1185,vaccine,0.21730769230769229,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,1,0.04,8,1,0.21730769230769229,undefined,8
0,0,0,1,1,scenario1,3,5475,HIC,1000000,Absent,0.25,10,14,14,14,14,0.8,30,5475,1,1,1,30,1095,1185,vaccine,0.21730769230769229,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,1,0.04,9,1,0.21730769230769229,undefined,9
0,0,0,1,1,scenario1,3,5475,HIC,1000000,Absent,0.25,10,14,14,14,14,0.8,30,5475,1,1,1,30,1095,1185,vaccine,0.21730769230769229,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,1,0.04,10,1,0.21730769230769229,undefined,10
0,0,0,1,1,scenario1,3,5475,HIC,1000000,Absent,0.25,10,14,14,14,14,0.8,30,5475,1,1,1,30,1095,1185,vaccine,0.21730769230769229,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,1,0.04,11,1,0.21730769230769229,undefined,11
0,0,0,1,1,scenario1,3,5475,HIC,1000000,Absent,0.25,10,14,14,14,14,0.8,30,5475,1,1,1,30,1095,1185,vaccine,0.21730769230769229,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,1,0.04,12,1,0.21730769230769229,undefined,12
0,0,0,1,1,scenario1,3,5475,HIC,1000000,Absent,0.25,10,14,14,14,14,0.8,30,5475,1,1,1,30,1095,1185,vaccine,0.21730769230769229,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,1,0.04,13,1,0.21730769230769229,undefined,13
0,0,0,1,1,scenario1,3,5475,HIC,1000000,Absent,0.25,10,14,14,14,14,0.8,30,5475,1,1,1,30,1095,1185,vaccine,0.21730769230769229,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,1,0.04,14,1,0.21730769230769229,undefined,14
0,0,0,1,1,scenario1,3,5475,HIC,1000000,Absent,0.25,10,14,14,14,14,0.8,30,5475,1,1,1,30,1095,1185,vaccine,0.21730769230769229,2.5,1000,35,75,565,0.091,0.021,0.44,5,0.6519230769230768,0.44,1,1,0.04,15,1,0.21730769230769229,undefined,15
